comparison of the two following files
reference video: ../case_1_ref_video.mp4
video to be compared to reference: packet_loss_simulation_769_8video.mp4
mse_avg: 918.230354659
nrsme_avg: 0.14233341732
psnr_avg: 25.7027967872
ssim_avg: 0.780832854222
last frame which could be compared: 600
['frame_num', 'MSE', 'NRSME', 'PSNR', 'SSIM']
0,86.0,55.76358940972222,0.03377601560816884,30.667296400630374,0.9753092929089892
0,87.0,53.59095727237654,0.03310928627264252,30.83988846138206,0.9758569942654742
0,88.0,52.352841435185184,0.032723375117507024,30.94140103007147,0.9762698960774915
0,89.0,52.18035927854938,0.032666024684006,30.955732958362823,0.9764855349740089
0,90.0,72.61824508101851,0.03854972990763556,29.52034611482981,0.9710707817865692
0,91.0,72.59975212191358,0.03854096177472166,29.521452229814376,0.9711064078587649
0,92.0,72.5943962191358,0.038539679423841386,29.521772633776884,0.971132529016449
0,93.0,72.59087287808642,0.03853848554322033,29.52198342204561,0.9711424129627636
0,94.0,72.58949797453704,0.038540393705202444,29.52206568013893,0.971135774046479
0,95.0,0.0,0.0,50.0,1.0
0,96.0,0.0,0.0,50.0,1.0
0,97.0,0.0,0.0,50.0,1.0
0,98.0,0.0,0.0,50.0,1.0
0,99.0,0.0,0.0,50.0,1.0
0,100.0,29.502256462191358,0.02456635115300199,33.432251268693676,0.9755108447898541
0,101.0,28.211224922839506,0.024020487023821473,33.62658417368317,0.9764479703146208
0,102.0,26.96812355324074,0.023485829920262293,33.822296316498715,0.9768587712616559
0,103.0,27.822743055555556,0.02385610707793382,33.68680415831425,0.9765616796982598
0,104.0,27.151729841820988,0.023567978995936135,33.792828570783875,0.9766275480700789
0,105.0,0.0,0.0,50.0,1.0
0,106.0,0.0,0.0,50.0,1.0
0,107.0,0.0,0.0,50.0,1.0
0,108.0,0.0,0.0,50.0,1.0
