comparison of the two following files
reference video: ../case_1_ref_video.mp4
video to be compared to reference: packet_loss_simulation_256_5video.mp4
mse_avg: 3891.20342887
nrsme_avg: 0.297606675543
psnr_avg: 19.4521760843
ssim_avg: 0.710547214526
last frame which could be compared: 600
['frame_num', 'MSE', 'NRSME', 'PSNR', 'SSIM']
0,102.0,425.8097482638889,0.09333891636903213,21.838647611428883,0.9379560707045468
0,103.0,425.54125192901233,0.09331597191071415,21.841386939402597,0.9382825604989239
0,104.0,427.3470659722222,0.09349871060539627,21.822996342890217,0.9382476638439543
0,105.0,427.95968942901237,0.09359286948311644,21.81677497188883,0.9382171128931803
0,106.0,429.7195273919753,0.0937753126934335,21.79895271447706,0.9375616187328024
0,107.0,431.00261863425925,0.09392182882625429,21.786004520645935,0.9372626351623604
0,108.0,431.18322916666665,0.0939508373561509,21.784185002059647,0.9368894377347442
0,109.0,437.7347444058642,0.09468428041093101,21.71869341545441,0.9361536470555885
0,110.0,435.473057966821,0.0944276078681319,21.74119069809619,0.9369602955688209
0,111.0,438.31545331790124,0.0947390283200089,21.71293578390125,0.9371734860224736
